VCD info: dumpfile test.vcd opened for output.
   0 CK:0 CE:0 AR:1 CO:x Q:xxxxxxxx
 386 CK:1 CE:1 AR:1 CO:0 Q:10010100
 388 CK:0 CE:1 AR:1 CO:0 Q:10010100
 390 CK:1 CE:1 AR:1 CO:0 Q:10010101
 392 CK:0 CE:1 AR:1 CO:0 Q:10010101
 394 CK:1 CE:1 AR:1 CO:0 Q:10010110
 396 CK:0 CE:1 AR:1 CO:0 Q:10010110
 398 CK:1 CE:1 AR:1 CO:0 Q:10010111
 400 CK:0 CE:1 AR:1 CO:0 Q:10010111
 402 CK:1 CE:1 AR:1 CO:0 Q:10011000
 404 CK:0 CE:1 AR:1 CO:0 Q:10011000
 406 CK:1 CE:1 AR:1 CO:1 Q:10011001
 408 CK:0 CE:1 AR:1 CO:1 Q:10011001
 410 CK:1 CE:1 AR:1 CO:0 Q:00000000
 412 CK:0 CE:1 AR:1 CO:0 Q:00000000
 414 CK:1 CE:1 AR:1 CO:0 Q:00000001
 416 CK:0 CE:1 AR:1 CO:0 Q:00000001
 418 CK:1 CE:1 AR:1 CO:0 Q:00000010
 420 CK:0 CE:1 AR:1 CO:0 Q:00000010
 422 CK:1 CE:1 AR:1 CO:0 Q:00000011
 424 CK:0 CE:1 AR:1 CO:0 Q:00000011
 426 CK:1 CE:1 AR:1 CO:0 Q:00000100
 428 CK:0 CE:1 AR:1 CO:0 Q:00000100
 430 CK:1 CE:1 AR:1 CO:0 Q:00000101
 432 CK:0 CE:1 AR:1 CO:0 Q:00000101
 434 CK:1 CE:1 AR:1 CO:0 Q:00000110
 436 CK:0 CE:1 AR:1 CO:0 Q:00000110
 438 CK:1 CE:1 AR:1 CO:0 Q:00000111
 440 CK:0 CE:1 AR:1 CO:0 Q:00000111
 442 CK:1 CE:1 AR:1 CO:0 Q:00001000
 444 CK:0 CE:1 AR:1 CO:0 Q:00001000
 446 CK:1 CE:1 AR:1 CO:0 Q:00001001
 448 CK:0 CE:1 AR:1 CO:0 Q:00001001
 450 CK:1 CE:1 AR:1 CO:0 Q:00010000
 452 CK:0 CE:1 AR:1 CO:0 Q:00010000
 454 CK:1 CE:1 AR:1 CO:0 Q:00010001
 456 CK:0 CE:1 AR:1 CO:0 Q:00010001
 458 CK:1 CE:1 AR:1 CO:0 Q:00010010
 460 CK:0 CE:1 AR:1 CO:0 Q:00010010
 462 CK:1 CE:1 AR:1 CO:0 Q:00010011
 464 CK:0 CE:1 AR:1 CO:0 Q:00010011
 466 CK:1 CE:1 AR:1 CO:0 Q:00010100
 468 CK:0 CE:1 AR:1 CO:0 Q:00010100
 470 CK:1 CE:1 AR:1 CO:0 Q:00010101
 472 CK:0 CE:1 AR:1 CO:0 Q:00010101
 474 CK:1 CE:1 AR:1 CO:0 Q:00010110
 476 CK:0 CE:1 AR:1 CO:0 Q:00010110
 478 CK:1 CE:1 AR:1 CO:0 Q:00010111
 480 CK:0 CE:1 AR:1 CO:0 Q:00010111
 482 CK:1 CE:1 AR:1 CO:0 Q:00011000
 484 CK:0 CE:1 AR:1 CO:0 Q:00011000
 486 CK:1 CE:1 AR:1 CO:0 Q:00011001
 488 CK:0 CE:1 AR:1 CO:0 Q:00011001
 490 CK:1 CE:1 AR:1 CO:0 Q:00100000
 492 CK:0 CE:1 AR:1 CO:0 Q:00100000
 494 CK:1 CE:1 AR:1 CO:0 Q:00100001
 496 CK:0 CE:1 AR:1 CO:0 Q:00100001
 498 CK:1 CE:1 AR:1 CO:0 Q:00100010
 500 CK:0 CE:1 AR:1 CO:0 Q:00100010
 502 CK:1 CE:1 AR:1 CO:0 Q:00100011
 504 CK:0 CE:1 AR:1 CO:0 Q:00100011
 506 CK:1 CE:1 AR:1 CO:0 Q:00100100
 508 CK:0 CE:1 AR:1 CO:0 Q:00100100
 510 CK:1 CE:1 AR:1 CO:0 Q:00100101
